phrase_id,audio_ms,backend_ack_ms,first_text_ms,full_text_ms,ble_ack_ms,total_ms,session_id,ble_seq_id,error
greeting-01,4778,1132,6038,6176,6271,6271,433b34a2-7411-4f6c-88ca-c4afdbb02c16,18,
greeting-02,4811,873,,5400,,,433b34a2-7411-4f6c-88ca-c4afdbb02c16,,discarded
greeting-02,3440,847,4360,4794,4866,4866,433b34a2-7411-4f6c-88ca-c4afdbb02c16,20,
weather-03,5390,920,6404,6418,6563,6563,433b34a2-7411-4f6c-88ca-c4afdbb02c16,21,
weather-04,4440,823,5322,5449,5607,5607,433b34a2-7411-4f6c-88ca-c4afdbb02c16,22,
direction-05,4777,1027,,5347,,,433b34a2-7411-4f6c-88ca-c4afdbb02c16,,discarded
direction-05,4444,1038,5253,5443,5590,5590,433b34a2-7411-4f6c-88ca-c4afdbb02c16,24,
direction-06,5654,970,,6212,,,433b34a2-7411-4f6c-88ca-c4afdbb02c16,,discarded
direction-06,5333,1150,,6019,,,433b34a2-7411-4f6c-88ca-c4afdbb02c16,,discarded
direction-06,5735,968,6680,,,,433b34a2-7411-4f6c-88ca-c4afdbb02c16,,ws_error
food-07,4615,995,,5024,,,433b34a2-7411-4f6c-88ca-c4afdbb02c16,,discarded
food-07,4575,1080,,5143,,,433b34a2-7411-4f6c-88ca-c4afdbb02c16,,discarded
food-07,5202,899,,5719,,,433b34a2-7411-4f6c-88ca-c4afdbb02c16,,discarded
food-07,3777,860,4835,4972,5160,5160,433b34a2-7411-4f6c-88ca-c4afdbb02c16,30,
food-08,4595,877,,5214,,,433b34a2-7411-4f6c-88ca-c4afdbb02c16,,discarded
food-08,4214,935,5098,5190,5346,5346,433b34a2-7411-4f6c-88ca-c4afdbb02c16,32,
time-09,4806,1217,5614,5748,5945,5945,433b34a2-7411-4f6c-88ca-c4afdbb02c16,33,
number-10,4464,907,5191,5501,5645,5645,433b34a2-7411-4f6c-88ca-c4afdbb02c16,34,
