phrase_id,audio_ms,backend_ack_ms,first_text_ms,full_text_ms,ble_ack_ms,total_ms,session_id,ble_seq_id,error
greeting-01,4195,1241,5053,5120,5327,5327,bfb9374e-3440-4e70-80ba-a20dae7fb65c,21,
greeting-02,4413,1154,5464,5526,5727,5727,bfb9374e-3440-4e70-80ba-a20dae7fb65c,22,
greeting-02,5069,1280,6100,6189,6401,6401,bfb9374e-3440-4e70-80ba-a20dae7fb65c,23,
weather-04,4615,1203,5604,5727,5814,5814,bfb9374e-3440-4e70-80ba-a20dae7fb65c,24,
direction-05,5522,943,6893,6901,7057,7057,bfb9374e-3440-4e70-80ba-a20dae7fb65c,25,
direction-05,6078,1041,6987,7149,7296,7296,bfb9374e-3440-4e70-80ba-a20dae7fb65c,26,
direction-06,4010,1063,4807,4939,5112,5112,bfb9374e-3440-4e70-80ba-a20dae7fb65c,27,
food-07,4165,1159,5202,5268,5432,5432,bfb9374e-3440-4e70-80ba-a20dae7fb65c,28,
food-08,3116,1103,3879,4035,4231,4231,bfb9374e-3440-4e70-80ba-a20dae7fb65c,29,
number-10,4302,1200,5503,5572,5732,5732,bfb9374e-3440-4e70-80ba-a20dae7fb65c,30,
